"id","Plu","Type","Category","Commodity","Variety","Size","Measures_na","Measures_row","Restrictions","Botanical","Aka","Status","Link","Notes","Updated_by","Updated_at","Created_at","Deleted_at","Language","consumer_usage_tier"
"424","3424","Global","Vegetables","CARROTS","Purple/Red - Beta Sweet","All Sizes","","","","Daucus carota","","Approved","","","Webmaster2015","2023-12-19 19:08:55","2002-10-15 22:00:00","","EN","Medium"
"425","3425","Global","Fruits","TANGERINES/MANDARINS","Ellendale","Small","","","Restricted from ANY use in Canada or the U.S.","Citrus spp.","","Approved","","","Webmaster2015","2023-12-19 19:08:55","2003-10-02 22:00:00","","EN","Medium"
"426","3426","Global","Fruits","TANGERINES/MANDARINS","Ellendale","Medium","","","Restricted from ANY use in Canada or the U.S.","Citrus spp.","","Approved","","","Webmaster2015","2023-12-19 19:08:55","2003-10-02 22:00:00","","EN","Medium"
"427","3427","Global","Fruits","TANGERINES/MANDARINS","Ellendale","Large","","","Restricted from ANY use in Canada or the U.S.","Citrus spp.","","Approved","","","Webmaster2015","2023-12-19 19:08:55","2003-10-02 22:00:00","","EN","Medium"
"428","3428","Global","Fruits","TANGERINES/MANDARINS","Honey/Murcott","Small","","","Restricted from ANY use in Canada or the U.S.","Citrus spp.","","Approved","","","Webmaster2015","2023-12-19 19:08:55","2003-10-02 22:00:00","","EN","High"
"429","3429","Global","Fruits","TANGERINES/MANDARINS","Honey/Murcott","Medium","","","Restricted from ANY use in Canada or the U.S.","Citrus spp.","","Approved","","","Webmaster2015","2023-12-19 19:08:55","2003-10-02 22:00:00","","EN","High"
"430","3430","Global","Fruits","TANGERINES/MANDARINS","Honey/Murcott","Large","","","Restricted from ANY use in Canada or the U.S.","Citrus spp.","","Approved","","","Webmaster2015","2023-12-19 19:08:55","2003-10-02 22:00:00","","EN","High"
"431","3431","Global","Fruits","TANGERINES/MANDARINS","Imperial","Small","","","Restricted from ANY use in Canada or the U.S.","Citrus spp.","","Approved","","","Webmaster2015","2023-12-19 19:08:55","2003-10-02 22:00:00","","EN","Medium"
"432","3432","Global","Fruits","TANGERINES/MANDARINS","Imperial","Medium","","","Restricted from ANY use in Canada or the U.S.","Citrus spp.","","Approved","","","Webmaster2015","2023-12-19 19:08:55","2003-10-02 22:00:00","","EN","Medium"
"433","3433","Global","Fruits","TANGERINES/MANDARINS","Imperial","Large","","","Restricted from ANY use in Canada or the U.S.","Citrus spp.","","Approved","","","Webmaster2015","2023-12-19 19:08:55","2003-10-02 22:00:00","","EN","Medium"
"434","3434","Global","Fruits","PEARS","Tosca"," All Sizes ","","","","Pyrus spp.","","Approved","http://","","Vincent Huston","2023-12-19 19:08:55","2006-05-23 22:00:00","","EN","Low"
"435","3435","Global","Fruits","APPLES","Pinova"," All Sizes ","","","","Malus domestica","","Approved","http://","","Wendy Logan","2023-12-19 19:08:55","2006-05-23 22:00:00","","EN","Low"
"436","3436","Global","Vegetables","CAULIFLOWER","Orange","All Sizes","","","","Brassica oleracea","","Approved","","","Webmaster2015","2023-12-19 19:08:55","2006-05-23 22:00:00","","EN","Medium"
"437","3437","Global","Fruits","NECTARINE","Flat Yellow","All Sizes","","","","Prunus persica","","Approved","","","Webmaster2015","2023-12-19 19:08:55","2006-05-23 22:00:00","","EN","Medium"
"438","3438","Global","Fruits","APPLES","Ambrosia"," All other sizes    ","","","","Malus domestica","","Approved","http://","","Wendy Logan","2023-12-19 19:08:55","2006-05-23 22:00:00","","EN","High"
"439","3439","Global","Fruits","NECTARINE","White Flesh Flat","All Sizes","","","","Prunus persica","","Approved","","","Webmaster2015","2023-12-19 19:08:55","2007-10-22 22:00:00","","EN","Medium"
"440","3440","Global","Fruits","POMEGRANATE","","Large","24 size and larger","Average Fruit Dimensions = 4.25 and larger","","Punica granatum","","Approved","","","Vicki Bonvetti","2023-12-19 19:08:55","2007-10-29 23:00:00","","EN","High"
"441","3441","Global","Vegetables","SQUASH","Butterkin","All Sizes ","","","","Cucurbita moshata","","Approved","","","Christina D'allarco","2023-12-19 19:08:55","2014-05-14 22:00:00","","EN","Medium"
"442","3442","Global","Fruits","APPLES","New York 1","All Sizes ","","","","Malus domestica","SnapDragon","Approved","","","Christina D'allarco","2023-12-19 19:08:55","2014-09-04 22:00:00","","EN","Medium"
"443","3443","Global","Fruits","APPLES","New York 2","All Sizes ","","","","Malus domestica","RubyFrost","Approved","","","Christina D'allarco","2023-12-19 19:08:55","2014-09-04 22:00:00","","EN","Medium"
"444","3444","Global","Fruits","APPLES","Green Dragon","All Sizes ","","","","Malus domestica","Chin Loung","Approved","","","Christina D'allarco","2023-12-19 19:08:55","2014-09-04 22:00:00","","EN","Low"
"445","3445","Global","Fruits","APPLES","DS 3","All Sizes ","","","","Malus domestica","Pazazz","Approved","","","Christina D'allarco","2023-12-19 19:08:55","2014-09-04 22:00:00","","EN","Low"
"446","3446","Global","Vegetables","KALE SPROUTS","","All Sizes ","","","","Brassica Oleracea","","Approved","","","Christina D'allarco","2023-12-19 19:08:55","2014-12-01 23:00:00","","EN","Medium"
"447","3447","Global","Fruits","APPLES","DS 22","All Sizes ","","","","Malus domestica","Riverbelle","Approved","","","Christina D'allarco","2023-12-19 19:08:55","2014-12-01 23:00:00","","EN","Low"
"448","3448","Global","Fruits","CHERRIES","Tip Top","  All Sizes   ","","","","Prunus avium","Skylar Rae","Approved","http://","","Wendy Logan","2023-12-19 19:08:55","2015-01-28 23:00:00","","EN","Medium"
"449","3449","Global","Fruits","GRAPES","Sugrathirteen","All Sizes ","","","","Vitis Vinifera I.","MIDNIGHT BEAUTY® brand","Approved","","","Christina D'allarco","2023-12-19 19:08:55","2015-03-26 23:00:00","","EN","Medium"
"450","3450","Global","Fruits","GRAPES","Sugranineteen","All Sizes ","","","","Vitis Vinifera I.","SCARLOTTA SEEDLESS® brand","Approved","","","Christina D'allarco","2023-12-19 19:08:55","2015-03-26 23:00:00","","EN","Medium"
"451","3451","Global","Fruits","GRAPES","Sugrathirtyfour","All Sizes ","","","","Vitis Vinifera","ADORA SEEDLESS® brand","Approved","","","Christina D'allarco","2023-12-19 19:08:55","2015-03-26 23:00:00","","EN","Low"
"452","3452","Global","Fruits","GRAPES","Sugrathirtyfive","All Sizes ","","","","Vitis Vinifera","AUTUMNCRISP® brand","Approved","","","Christina D'allarco","2023-12-19 19:08:55","2015-03-26 23:00:00","","EN","Medium"
"453","3453","Global","Vegetables","GALANGAL ROOT","","All Sizes ","","","","Alpinia officinarum","","Approved","","","Christina D'allarco","2023-12-19 19:08:55","2015-03-26 23:00:00","","EN","Low"
"454","3454","Global","Fruits","JACKFRUIT","Green","All Sizes ","","","","Artocarpus heterophylus","","Approved","","","Christina D'allarco","2023-12-19 19:08:55","2015-03-26 23:00:00","","EN","Medium"
"455","3455","Global","Fruits","JACKFRUIT","Yellow","All Sizes ","","","","Artocarpus heterophylus","","Approved","","","Christina D'allarco","2023-12-19 19:08:55","2015-03-26 23:00:00","","EN","Medium"
"456","3456","Global","Fruits","MELON","Winter","All Sizes ","","","","Cucumis melo","","Approved","","","Christina D'allarco","2023-12-19 19:08:55","2015-03-26 23:00:00","","EN","Medium"
"457","3457","Global","Fruits","PLUMS","President","All Sizes  ","","","","Prunus spp.","","Approved","","","Christina D'allarco","2023-12-19 19:08:55","2015-03-26 23:00:00","","EN","Low"
"458","3458","Global","Vegetables","TOMATOES","Cherry - Orange","All Sizes ","","","","Lycopersicon esculenta","","Approved","","","Christina D'allarco","2023-12-19 19:08:55","2015-03-26 23:00:00","","EN","High"
"459","3600","Global","Fruits","APPLES","Antares"," All Sizes ","","","","Malus domestica","","Approved","http://","","Wendy Logan","2023-12-19 19:08:55","2008-06-02 22:00:00","","EN","Low"
"460","3601","Global","Fruits","APPLES","Huaguan"," All Sizes ","","","","Malus domestica","Autumn Glory","Approved","http://","","Wendy Logan","2023-12-19 19:08:55","2008-06-02 22:00:00","","EN","Medium"
"461","3602","Global","Fruits","APPLES","Belgica"," All Sizes ","","","","Malus domestica","","Approved","http://","","Wendy Logan","2023-12-19 19:08:55","2008-11-25 23:00:00","","EN","Low"
"462","3603","Global","Fruits","APPLES","Minneiska","All Sizes","","","","Malus domestica","","Approved","","","Vicki Bonvetti","2023-12-19 19:08:55","2008-11-25 23:00:00","","EN","High"
"463","3604","Global","Fruits","APPLES","Emmons"," All Sizes ","","","","Malus domestica","","Approved","http://","","Wendy Logan","2023-12-19 19:08:55","2008-11-25 23:00:00","","EN","Medium"
"464","3605","Global","Fruits","APPLES","Nicoter","  All Sizes  ","","","","Malus domestica","","Approved","http://","","Wendy Logan","2023-12-19 19:08:55","2009-05-12 22:00:00","","EN","Medium"
"465","3606","Global","Fruits","PEARS","Sweet Sensation","All Sizes","","","","Pyrus spp.","","Approved","","","Vicki Bonvetti","2023-12-19 19:08:55","2009-05-12 22:00:00","","EN","Low"
"466","3607","Global","Fruits","APPLES","Mariri Red"," All Sizes ","","","","Malus domestica","","Approved","http://","","Wendy Logan","2023-12-19 19:08:55","2007-10-22 22:00:00","","EN","Low"
"467","3608","Global","Fruits","APPLES","Sciros"," Large ","88 size and larger","Average Fruit Weight = 205g and above","","Malus domestica","Pacific Rose","Approved","http://","","Wendy Logan","2023-12-19 19:08:55","2002-10-15 22:00:00","","EN","Medium"
"468","3609","Global","Fruits","PLUMCOT (INTERSPECIFIC PLUM)","Red","All Sizes","","","","Prunus spp.","","Approved","","","Webmaster2015","2023-12-19 19:08:55","2008-06-02 22:00:00","","EN","Medium"
"469","3610","Global","Fruits","PLUMCOT (INTERSPECIFIC PLUM)","Green","All Sizes","","","","Prunus spp.","","Approved","","","Webmaster2015","2023-12-19 19:08:55","2008-06-02 22:00:00","","EN","Low"
"470","3611","Global","Fruits","PLUMCOT (INTERSPECIFIC PLUM)","Black","All Sizes","","","","Prunus spp.","","Approved","","","Webmaster2015","2023-12-19 19:08:55","2008-06-02 22:00:00","","EN","Low"
"471","3612","Global","Fruits","APPLES","Nicogreen"," All Sizes ","","","","Malus domestica","","Approved","http://","","Wendy Logan","2023-12-19 19:08:55","2009-05-12 22:00:00","","EN","Low"
"472","3613","Global","Fruits","APPLES","Fuji Brak"," All Sizes ","","","","Malus domestica","","Approved","http://","","Wendy Logan","2023-12-19 19:08:55","2009-05-12 22:00:00","","EN","High"
"473","3614","Global","Fruits","APRICOTS","Red","All Sizes","","","","Prunus armeniaca","","Approved","","","Vicki Bonvetti","2023-12-19 19:08:55","2009-10-14 22:00:00","","EN","Low"
"474","3615","Global","Fruits","APPLES","Civni"," All Sizes ","","","","Malus domestica","","Approved","http://","","Wendy Logan","2023-12-19 19:08:55","2009-10-28 23:00:00","","EN","Low"
"475","3616","Global","Fruits","APPLES","Scilate","Large","88 size and larger","","","Malus domestica","ENVY","Approved","","","Vicki Bonvetti","2023-12-19 19:08:55","2013-05-05 22:00:00","","EN","High"
"476","3617","Global","Fruits","LEMONS","Seedless","All Sizes","","","","","","Approved","","","Vicki Bonvetti","2023-12-19 19:08:55","2010-06-27 22:00:00","","EN","Medium"
"477","3618","Global","Fruits","APPLES","Opal"," All Sizes ","","","","Malus domestica","","Approved","http://","","Wendy Logan","2023-12-19 19:08:55","2007-10-18 22:00:00","","EN","Medium"
"478","3619","Global","Fruits","APPLES","Milwa"," All Sizes ","","","","Malus domestica","","Approved","http://","","Wendy Logan","2023-12-19 19:08:55","2011-06-08 22:00:00","","EN","Low"
"479","3620","Global","Fruits","APPLES","Plumac","All Sizes ","","","","Malus domestica","","Approved","","","Christina D'allarco","2023-12-19 19:08:55","2011-06-08 22:00:00","","EN","Low"
"480","3621","Global","Fruits","MANGO","Francis","All Sizes","","","","Mangifera Indica","Madame Francis, Francine","Approved","","","Vicki Bonvetti","2023-12-19 19:08:55","2011-10-23 22:00:00","","EN","Low"
"481","3622","Global","Fruits","MELON","Honey Green","All Sizes  ","","","","Cucumis melo","Papaya Melon","Approved","","","Christina D'allarco","2023-12-19 19:08:55","2011-10-23 22:00:00","","EN","Low"
"482","3623","Global","Fruits","MELON","Hami","All Sizes","","","","Cucumis melo","Chinese Hami or Snow Melon","Approved","","","Vicki Bonvetti","2023-12-19 19:08:55","2011-10-23 22:00:00","","EN","Low"
"483","3624","Global","Fruits","MELON","Korean","All Sizes ","","","","Cucumis melo","","Approved","","","Christina D'allarco","2023-12-19 19:08:55","2011-10-23 22:00:00","","EN","Low"
"484","3625","Global","Fruits","APPLES","Minnewashta","All Sizes","","","","Malus domestica","Zestar","Approved","","","Vicki Bonvetti","2023-12-19 19:08:55","2011-10-23 22:00:00","","EN","Medium"
"485","3626","Global","Fruits","LEMONS","Meyer","All Sizes","","","","Citrus limon","","Approved","","","Vicki Bonvetti","2023-12-19 19:08:55","2012-01-24 23:00:00","","EN","Medium"
"486","3627","Global","Fruits","APPLES","PremA17","  Large   ","","","","Malus domestica","","Approved","http://","","Wendy Logan","2023-12-19 19:08:55","2012-01-24 23:00:00","","EN","Low"
"487","3628","Global","Fruits","APPLES","PremA280"," All Sizes ","","","","Malus domestica","","Approved","http://","","Wendy Logan","2023-12-19 19:08:55","2012-01-24 23:00:00","","EN","Medium"
"488","3629","Global","Fruits","APPLES","CIVG198"," All Sizes ","","","","Malus domestica","","Approved","http://","","Wendy Logan","2023-12-19 19:08:55","2012-01-24 23:00:00","","EN","Low"
"489","3630","Global","Fruits","APPLES","Co-op 43","All Sizes","","","","Malus domestica","","Approved","","","Vicki Bonvetti","2023-12-19 19:08:55","2012-04-24 22:00:00","","EN","Low"
"490","3631","Global","Vegetables","PUMPKIN","Pink","All Sizes ","22 to 25 lbs","","","Eucurbita maxima","Porcelain Doll Pumpkin","Approved","","","Christina D'allarco","2023-12-19 19:08:55","2012-07-25 22:00:00","","EN","Low"
"491","3632","Global","Fruits","TANGERINES/MANDARINS","Dekopon"," All Sizes  ","","","","Citrus reticulata siranui","Shiranui/Hallabong/Sumo Citrus® ","Approved","http://","","Wendy Logan","2023-12-19 19:08:55","2012-10-16 22:00:00","","EN","High"
"492","4011","Global","Fruits","BANANAS","Yellow (includes Cavendish)","All Sizes","","","","Musa spp.","","Approved","","","Webmaster2015","2023-12-19 19:08:55","1999-12-30 23:00:00","","EN","High"
"493","4012","Global","Fruits","ORANGES","Navel","Large","56 size and larger","Average Fruit Dimensions = 84mm and above","","Citrus spp.","","Approved","","","Webmaster2015","2023-12-19 19:08:55","1999-12-30 23:00:00","","EN","High"
"494","4013","Global","Fruits","ORANGES","Navel","Small","113 size and smaller","Average Fruit Dimensions = less than 66mm","","Citrus spp.","","Approved","","","Webmaster2015","2023-12-19 19:08:55","1999-12-30 23:00:00","","EN","High"
"495","4014","Global","Fruits","ORANGES","Valencia","Small","100 size and smaller","Average Fruit Dimensions = less than 77mm","Restricted for items grown east of the Mississippi River in the U.S or east of the Ontario/Manitoba border in Canada.","Citrus spp.","","Approved","","","Webmaster2015","2023-12-19 19:08:55","1999-12-30 23:00:00","","EN","High"
"496","4014","Global","Fruits","ORANGES","Valencia","Small","113 size and smaller","Average Fruit Dimensions = less than 66mm","","Citrus spp.","","Approved","","","Webmaster2015","2023-12-19 19:08:55","1999-12-30 23:00:00","","EN","High"
"497","4015","Global","Fruits","APPLES","Red Delicious"," Small ","100 size and smaller","Average Fruit Weight = less than 205g","","Malus domestica","","Approved","http://","","Wendy Logan","2023-12-19 19:08:55","1999-12-30 23:00:00","","EN","High"
"498","4016","Global","Fruits","APPLES","Red Delicious"," Large ","88 size and larger","Average Fruit Weight = 205g and above","","Malus domestica","","Approved","http://","","Wendy Logan","2023-12-19 19:08:55","1999-12-30 23:00:00","","EN","High"
"499","4017","Global","Fruits","APPLES","Granny Smith"," Large ","88 size and larger","Average Fruit Weight = 205g and above","","Malus domestica","","Approved","http://","","Wendy Logan","2023-12-19 19:08:55","1999-12-30 23:00:00","","EN","High"
"500","4018","Global","Fruits","APPLES","Granny Smith"," Large ","88 size and larger","Average Fruit Weight = 205g and above","Restricted for items grown in all states east of Colorado, New Mexico, Wyoming and Montana in the U.S. and east of the Ontario/Manitoba border in Canada.","Malus domestica","","Approved","http://","","Wendy Logan","2023-12-19 19:08:55","1999-12-30 23:00:00","","EN","High"
"501","4019","Global","Fruits","APPLES","McIntosh"," Large ","88 size and larger","Average Fruit Weight = 205g and above","Restricted for items grown in all states east of Colorado, New Mexico, Wyoming and Montana in the U.S. and east of the Ontario/Manitoba border in Canada.","Malus domestica","","Approved","http://","","Wendy Logan","2023-12-19 19:08:55","1999-12-30 23:00:00","","EN","Medium"
"502","4020","Global","Fruits","APPLES","Golden Delicious"," Large ","88 size and larger","Average Fruit Weight = 205g and above","","Malus domestica","","Approved","http://","","Wendy Logan","2023-12-19 19:08:55","1999-12-30 23:00:00","","EN","High"
"503","4021","Global","Fruits","APPLES","Golden Delicious"," Small ","100 size and smaller","Average Fruit Weight = less than 205g","","Malus domestica","","Approved","http://","","Wendy Logan","2023-12-19 19:08:55","1999-12-30 23:00:00","","EN","High"
"504","4022","Global","Fruits","GRAPES","White/Green Seedless - Peerlette Seedless/Thompson Seedless","All Sizes","","","","Vitis vinifera","","Approved","","","Webmaster2015","2023-12-19 19:08:55","1999-12-30 23:00:00","","EN","High"
"505","4023","Global","Fruits","GRAPES","Red Seedless - Flame/Ruby/Emperatriz","All Sizes","","","","Vitis vinifera","","Approved","","","Webmaster2015","2023-12-19 19:08:55","1999-12-30 23:00:00","","EN","High"
"506","4024","Global","Fruits","PEARS","Bartlett/Williams/WBC","Small","110 size and smaller","Average Fruit Weight =  less than 180g","","Pyrus spp.","","Approved","","","Webmaster2015","2023-12-19 19:08:55","1999-12-30 23:00:00","","EN","High"
"507","4025","Global","Fruits","PEARS","Anjou","Small","110 size and smaller","Average Fruit Weight =  less than 180g","","Pyrus spp.","","Approved","","","Webmaster2015","2023-12-19 19:08:56","1999-12-30 23:00:00","","EN","High"
"508","4026","Global","Fruits","PEARS","Bosc/Beurre Bosc","Small","110 size and smaller","Average Fruit Weight =  less than 180g","","Pyrus spp.","","Approved","","","Webmaster2015","2023-12-19 19:08:56","1999-12-30 23:00:00","","EN","High"
"509","4027","Global","Fruits","GRAPEFRUIT","Ruby/Red/Pink (includes Ray Ruby, Ruby, Ruby Red)","Small","40 size and smaller","","Restricted for items grown east of the Mississippi River in the U.S or east of the Ontario/Manitoba border in Canada.","Citrus paradisi","","Approved","","","Webmaster2015","2023-12-19 19:08:56","1999-12-30 23:00:00","","EN","Medium"
"510","4028","Global","Fruits","BERRIES","Strawberries"," Pint ","","","","Fragaria ananassa","","Approved","http://","","Vincent Huston","2023-12-19 19:08:56","1999-12-30 23:00:00","","EN","High"
"511","4029","Global","Fruits","PINEAPPLE","","Small","12 size and smaller","","Sizes for pineapple based on two-layer lug.","Ananas comosus","","Approved","","","Webmaster2015","2023-12-19 19:08:56","1999-12-30 23:00:00","","EN","High"
"512","4030","Global","Fruits","KIWIFRUIT","Regular","  All Sizes  ","","","","Actinidia deliciosa","","Approved","http://","","Vincent Huston","2023-12-19 19:08:56","2004-06-29 22:00:00","","EN","High"
"513","4031","Global","Fruits","MELON","Watermelon - Red   "," All Sizes ","","","","Citrullus lanatus","","Approved","http://","","Vincent Huston","2023-12-19 19:08:56","1999-12-30 23:00:00","","EN","High"
"514","4032","Global","Fruits","MELON","Watermelon - Red, Seedless","All Sizes","","","","Citrullus lanatus","","Approved","","","Webmaster2015","2023-12-19 19:08:56","1999-12-30 23:00:00","","EN","High"
"515","4033","Global","Fruits","LEMONS","","Small","200 size and smaller","Average Fruit Dimensions = less than 54mm","","Citrus limon","","Approved","","","Webmaster2015","2023-12-19 19:08:56","1999-12-30 23:00:00","","EN","High"
"516","4034","Global","Fruits","MELON","Honeydew/White Honeydew","Large","5 size and larger","Average Fruit Weight =  2040g and above","","Cucumis melo","","Approved","","","Webmaster2015","2023-12-19 19:08:56","1999-12-30 23:00:00","","EN","High"
"517","4035","Global","Fruits","NECTARINE","Yellow Flesh","Small","70 size and smaller","Average Fruit Weight =  less than 185g","","Prunus persica","","Approved","","","Webmaster2015","2023-12-19 19:08:56","1999-12-30 23:00:00","","EN","High"
"518","4036","Global","Fruits","NECTARINE","Yellow Flesh","Large","66 size and larger","Average Fruit Weight =  185g and above","","Prunus persica","","Approved","","","Webmaster2015","2023-12-19 19:08:56","1999-12-30 23:00:00","","EN","High"
"519","4037","Global","Fruits","PEACHES","Yellow Flesh"," Small ","70 size and smaller","Average Fruit Weight =  less than 185g","","Prunus persica","","Approved","http://","","Wendy Logan","2023-12-19 19:08:56","1999-12-30 23:00:00","","EN","High"
"520","4038","Global","Fruits","PEACHES","Yellow Flesh"," Large ","66 size and larger","Average Fruit Weight =  185g and above","","Prunus persica","","Approved","http://","","Wendy Logan","2023-12-19 19:08:56","1999-12-30 23:00:00","","EN","High"
"521","4039","Global","Fruits","PLUMS","Black (Includes Ambra, Black Beaut, Prima Black, Blackamber, Black Torch, Catalina, Challenger, Black Diamond, Friar, Royal Diamond, Black Knight, Freedom, Black Flame, Howard Sun, Angeleno)","Small","60 size and smaller","Average Fruit Dimensions < 50MM","","Prunus spp.","","Approved","","","Webmaster2015","2023-12-19 19:08:56","1999-12-30 23:00:00","","EN","Medium"
"522","4040","Global","Fruits","PLUMS","Black (Includes Ambra, Black Beaut, Prima Black, Blackamber, Black Torch, Catalina, Challenger, Black Diamond, Friar, Royal Diamond, Black Knight, Freedom, Black Flame, Howard Sun, Angeleno)","Large","55 size and larger","Average Fruit Dimensions 50MM & ABOVE","","Prunus spp.","","Approved","","","Webmaster2015","2023-12-19 19:08:56","1999-12-30 23:00:00","","EN","Medium"
"523","4041","Global","Fruits","PLUMS","Red (Includes Santa Rosa, Late Santa Rosa, Red Beaut, Rich Red, Spring Beaut, First Beaut, Royal Red, Red Jewel, Rose Zee, Royal Zee, Ace, Aleta Rose, Burgandy, July Santa Rosa, Frontier, Fortune, Grand Rosa, Red Lane, Red Rosa, Casselman, Autumn Rosa, Mi","Small","60 size and smaller","Average Fruit Dimensions < 50MM","","Prunus spp.","","Approved","","","Webmaster2015","2023-12-19 19:08:56","1999-12-30 23:00:00","","EN","Medium"
"524","4042","Global","Fruits","PLUMS","Red (Includes Santa Rosa, Late Santa Rosa, Red Beaut, Rich Red, Spring Beaut, First Beaut, Royal Red, Red Jewel, Rose Zee, Royal Zee, Ace, Aleta Rose, Burgandy, July Santa Rosa, Frontier, Fortune, Grand Rosa, Red Lane, Red Rosa, Casselman, Autumn Rosa, Mi","Large","55 size and larger","Average Fruit Dimensions 50MM & ABOVE","","Prunus spp.","","Approved","","","Webmaster2015","2023-12-19 19:08:56","1999-12-30 23:00:00","","EN","Medium"
"525","4043","Global","Fruits","PEACHES","Yellow Flesh - Tree Ripened/Ready-to-eat"," Small ","70 size and smaller","Average Fruit Weight =  less than 185g","","Prunus persica","","Approved","http://","","Wendy Logan","2023-12-19 19:08:56","1999-12-30 23:00:00","","EN","High"
"526","4044","Global","Fruits","PEACHES","Yellow Flesh - Tree Ripened/Ready-to-eat"," Large ","66 size and larger","Average Fruit Weight =  185g and above","","Prunus persica","","Approved","http://","","Wendy Logan","2023-12-19 19:08:56","1999-12-30 23:00:00","","EN","High"
"527","4045","Global","Fruits","CHERRIES","Regular/Red/Black","    All Sizes    ","","","This code can be used anyplace in the globe; however, there are other codes for this item that can be used outside of North America.","Prunus avium","","Approved","http://","","Wendy Logan","2023-12-19 19:08:56","1999-12-30 23:00:00","","EN","High"
"528","4046","Global","Fruits","AVOCADOS","Hass","Small","60 size and smaller","Average Fruit Weight = less than 190g","","Persea americana","","Approved","","","Webmaster2015","2023-12-19 19:08:56","1999-12-30 23:00:00","","EN","High"
"529","4047","Global","Fruits","GRAPEFRUIT","Ruby/Red/Pink (Includes Ray Ruby, Ruby, Ruby Red)","Small","40 size and smaller","Average Fruit Dimensions = less than 97mm","","Citrus paradisi","","Approved","","","Webmaster2015","2023-12-19 19:08:56","2002-06-01 22:00:00","","EN","Medium"
"530","4048","Global","Fruits","LIMES","Regular (incl. Persian, Tahiti & Bearss)"," All Sizes ","","","","Citrus latifolia","","Approved","http://","","Vincent Huston","2023-12-19 19:08:56","1999-12-30 23:00:00","","EN","High"
"531","4049","Global","Fruits","MELON","Cantaloupe/Rockmelon","Small","15 size and smaller (Original size break was 18 size and smaller) 2 year transition period for this change to be official. New size official as of 5/2007.","Average Fruit Weight =  less than 1135g","","Cucumis melo","","Approved","","","Webmaster2015","2023-12-19 19:08:56","2005-05-22 22:00:00","","EN","High"
"532","4050","Global","Fruits","MELON","Cantaloupe/Rockmelon","Large","12 size and larger  (Original size break was 15 size and larger) 2 year transition period for this change to be official. New size official as of 5/2007.","Average Fruit Weight =  1135g and above","","Cucumis melo","","Approved","","","Webmaster2015","2023-12-19 19:08:56","2005-05-22 22:00:00","","EN","High"
"533","4051","Global","Fruits","MANGO","Red (Includes Tommy Atkins, Kent, Palmer, Vandyke, Edward,Hayden)","Small","12 size and smaller","","","Mangifera indica","","Approved","","","Webmaster2015","2023-12-19 19:08:56","1999-12-30 23:00:00","","EN","High"
"534","4052","Global","Fruits","PAPAYA/PAWPAW","Regular","Small","10 size and smaller","","","Carica papaya","","Approved","","","Webmaster2015","2023-12-19 19:08:56","1999-12-30 23:00:00","","EN","Medium"
"535","4053","Global","Fruits","LEMONS","","Large","115 size and larger","Average Fruit Dimensions = 65mm and above","","Citrus limon","","Approved","","","Webmaster2015","2023-12-19 19:08:56","1999-12-30 23:00:00","","EN","High"
"536","4054","Global","Fruits","BERRIES","Raspberries - Red","  All Sizes  ","","","","Rubus idaeus","","Approved","http://","","Vincent Huston","2023-12-19 19:08:56","1999-12-30 23:00:00","","EN","High"
"537","4055","Global","Fruits","TANGERINES/MANDARINS","","All Sizes","","","","Citrus spp.","","Approved","","","Webmaster2015","2023-12-19 19:08:56","1999-12-30 23:00:00","","EN","High"
"538","4056","Global","Fruits","GRAPES","Blue/Black Seedless (All other varieties not listed above including Beauty and Autumn Royal)","All Sizes","","","","Vitis vinifera","","Approved","","","Webmaster2015","2023-12-19 19:08:56","1999-12-30 23:00:00","","EN","High"
"539","4057","Global","Fruits","APPLES","Haralson"," Small ","100 size and smaller","Average Fruit Weight = less than 205g","","Malus domestica","","Approved","http://","","Wendy Logan","2023-12-19 19:08:56","1999-12-30 23:00:00","","EN","Low"
"540","4058","Global","Fruits","APPLES","Haralson"," Large ","88 size and larger","Average Fruit Weight = 205g and above","","Malus domestica","","Approved","http://","","Wendy Logan","2023-12-19 19:08:56","1999-12-30 23:00:00","","EN","Low"
"541","4060","Global","Vegetables","BROCCOLI","","All Sizes","","","","Brassica oleracea","","Approved","","","Webmaster2015","2023-12-19 19:08:56","1999-12-30 23:00:00","","EN","High"
"542","4061","Global","Vegetables","LETTUCE","Iceberg","All Sizes","","","","Lactuca sativa","","Approved","","","Webmaster2015","2023-12-19 19:08:56","1999-12-30 23:00:00","","EN","High"
"543","4062","Global","Vegetables","CUCUMBER","Green/Ridge/Short","   All Sizes   ","","","","Cucumis sativus","","Approved","http://","","Vincent Huston","2023-12-19 19:08:56","1999-12-30 23:00:00","","EN","High"
"544","4063","Global","Vegetables","TOMATOES","Regular - Red","   Small   ","6x6 size and smaller","Less than 70mm diameter","","Lycopersicon esculenta","","Approved","http://","","Vincent Huston","2023-12-19 19:08:56","1999-12-30 23:00:00","","EN","High"
"545","4064","Global","Vegetables","TOMATOES","Regular - Red","Large","5x6 size and larger","Diameter 70mm and above","","Lycopersicon esculenta","","Approved","","","Webmaster2015","2023-12-19 19:08:56","1999-12-30 23:00:00","","EN","High"
